Franjas	Estres	Dulces
1	-2.49	2.17
0	-2.49	-2.37
1	-2.47	1.64
1	-2.43	1.9
1	-2.34	1.91
1	-2.33	1.72
0	-2.26	-2.49
1	-2.25	2.39
0	-2.23	-1.13
0	-2.23	-1.62
0	-2.21	-1.83
0	-2.17	-2.49
0	-2.15	-2.07
1	-2.12	2.53
0	-2.1	-2.82
1	-2.07	1.62
1	-2.06	1.75
0	-2.05	-2.18
1	-2.03	2.46
0	-2.01	-1.92
0	-2	-1.82
1	-1.99	1.08
1	-1.99	1.76
0	-1.97	-2.59
0	-1.97	-2.77
0	-1.96	-1.51
1	-1.95	1.19
1	-1.94	1.98
0	-1.93	-1.59
0	-1.93	-2.12
0	-1.92	-1.16
1	-1.92	2.32
0	-1.92	-1.48
0	-1.92	-2.64
1	-1.89	1.32
1	-1.88	1.94
0	-1.87	-2.96
1	-1.87	1.32
0	-1.86	-1.35
0	-1.86	-1.87
0	-1.84	-2.04
0	-1.84	-2.1
0	-1.84	-2.75
1	-1.83	2.12
1	-1.82	1.56
0	-1.82	-2.92
1	-1.82	2.16
1	-1.81	1.83
0	-1.79	-2.3
0	-1.77	-1.85
0	-1.77	-1.78
1	-1.76	2.05
1	-1.75	1.8
1	-1.74	1.61
0	-1.74	-2.53
1	-1.73	2.55
1	-1.73	1.34
0	-1.72	-2.29
1	-1.72	2.54
0	-1.72	-2.14
0	-1.72	-1.73
0	-1.72	-1.77
0	-1.72	-1.96
1	-1.72	1.49
1	-1.71	1.82
1	-1.71	2.63
0	-1.7	-1.24
1	-1.7	1.99
1	-1.69	1.2
0	-1.69	-2.05
0	-1.69	-2.09
1	-1.69	2.68
1	-1.68	1.57
0	-1.68	-2.13
1	-1.68	1.79
1	-1.67	1.67
1	-1.67	2.32
0	-1.67	-2.02
0	-1.66	-2.2
1	-1.66	1.66
0	-1.66	-1.5
1	-1.65	2.13
0	-1.65	-2.11
1	-1.65	0.94
0	-1.65	-1.35
0	-1.65	-1.54
1	-1.64	1.91
1	-1.64	1.83
1	-1.63	2.27
0	-1.63	-2.45
1	-1.62	1.91
1	-1.61	2.08
1	-1.61	2.16
1	-1.61	1.44
0	-1.61	-2.48
0	-1.6	-1.91
1	-1.6	2.39
1	-1.59	0.93
1	-1.59	0.98
1	-1.58	1.82
1	-1.58	1.65
0	-1.58	-1.56
1	-1.58	1.34
1	-1.58	2.12
0	-1.57	-2.34
1	-1.57	2.66
1	-1.57	2.6
0	-1.56	-2.1
1	-1.56	2.33
0	-1.56	-1.43
1	-1.55	2.01
1	-1.55	2.09
1	-1.55	1.95
1	-1.55	1.99
0	-1.54	-1.88
0	-1.53	-2.18
1	-1.53	2.2
1	-1.53	2.16
1	-1.53	1.65
1	-1.53	1.96
0	-1.53	-2.21
0	-1.53	-2.3
0	-1.52	-3.44
0	-1.51	-2.3
1	-1.51	2.78
0	-1.51	-2.52
1	-1.5	2.03
0	-1.5	-2.34
0	-1.5	-3.03
1	-1.5	1.53
0	-1.5	-1.23
1	-1.49	1.89
1	-1.49	1.85
1	-1.49	1.79
0	-1.49	-1.74
0	-1.48	-1.46
0	-1.47	-2.61
1	-1.47	1.92
0	-1.47	-1.85
1	-1.47	1.86
0	-1.47	-2.14
1	-1.46	1.57
1	-1.46	2.4
1	-1.46	1.56
0	-1.45	-2.29
0	-1.45	-1.38
0	-1.45	-2.01
0	-1.45	-2.16
1	-1.44	1.76
0	-1.44	-2.33
1	-1.44	1.78
0	-1.43	-1.19
0	-1.43	-2.33
0	-1.43	-2.11
1	-1.43	2.55
1	-1.43	2.09
0	-1.42	-2.41
0	-1.42	-1.52
0	-1.42	-2.22
0	-1.42	-2.62
1	-1.41	2.15
0	-1.41	-1.76
0	-1.41	-2.12
1	-1.4	1.18
1	-1.4	2.7
1	-1.4	1.66
1	-1.39	2.73
1	-1.39	2.65
0	-1.39	-1.74
1	-1.39	2.29
1	-1.39	1.99
0	-1.39	-1.6
1	-1.38	2.33
1	-1.38	2.41
0	-1.37	-1.82
0	-1.37	-2.42
0	-1.37	-2.49
1	-1.37	2.25
0	-1.36	-1.33
1	-1.36	2.02
0	-1.36	-0.64
1	-1.36	2.58
1	-1.35	2.29
0	-1.35	-2.13
